question,option1,option2,option3,option4,option5,answer
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Which bank, in partnership with Freecharge, launched India’s first gold- backed credit line on UPI?",HDFC Bank,Axis Bank,ICICI Bank,Kotak Mahindra Bank,State Bank of India,Axis Bank
"Which company’s proposed Greenfield steel plant at Nakkapalli, Andhra Pradesh, has been approved by the Union Environment Ministry?",Tata Steel,JSW Steel,ArcelorMittal Nippon Steel (AMNS),Steel Authority of India (SAIL),Essar Steel,ArcelorMittal Nippon Steel (AMNS)
When will the Winter Schedule 2025 (WS25) for domestic airlines in India be effective?,1st October 2025,15th October 2025,26th October 2025,1st November 2025,15th November 2025,26th October 2025
What is the total outlay approved for the new Export Promotion Mission (EPM) and Credit Guarantee Scheme for Exporters (CGSE)?,"₹25,060 crore","₹20,000 crore","₹40,000 crore","₹50,000 crore","₹45,060 crore","₹45,060 crore"
What is commemorated on November 11 as National Education Day in India?,Jawaharlal Nehru,Maulana Abul Kalam Azad,Dr. Sarvepalli Radhakrishnan,Mahatma Gandhi,B.R. Ambedkar,Maulana Abul Kalam Azad
Which major reforms did the RBI recently announce for the cooperative banking sector?,Introduction of new digital banking platforms,Reexamination of licensing framework for UCBs and expansion of grievance redressal system,Merger of all cooperative banks with commercial banks,Reduction in repo rate for cooperative banks,Introduction of private equity participation in cooperative banks,Reexamination of licensing framework for UCBs and expansion of grievance redressal system
"Which celebrated Indian poet and writer, awarded the Padma Shri in 2025, recently passed away?",Ramdarash Mishra,Raghuvir Sahay,Kedarnath Singh,Kunwar Narayan,Namvar Singh,Ramdarash Mishra
